Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.000000,-115.000000,180.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.500000,-122.500000,-90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",171.000000,-136.000000,180.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.000000,-121.000000,90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",186.500000,-120.000000,90.000000,top
"C6","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.000000,-127.462500,-90.000000,top
"C7","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.000000,-127.462500,-90.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.000000,-127.500000,-90.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.000000,-127.500000,90.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.000000,-122.000000,180.000000,top
"C11","10uF","WCAP-ATG5_5X11_DXL_",163.500000,-111.000000,0.000000,top
"C12","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.000000,-107.500000,180.000000,top
"C13","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.000000,-114.000000,-90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.500000,-107.500000,180.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",174.000000,-116.500000,90.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",187.962500,-102.568749,0.000000,top
"D1","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.000000,-105.500000,180.000000,top
"D2","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.500000,-115.500000,-90.000000,top
"D4","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.500000,-110.500000,0.000000,top
"D5","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.500000,-112.500000,0.000000,top
"D6","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",175.500000,-131.500000,90.000000,top
"D7","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.000000,-136.500000,0.000000,top
"D8","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.000000,-115.500000,-90.000000,top
"D9","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",175.000000,-119.500000,180.000000,top
"D10","###","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.000000,-133.500000,0.000000,top
"J1","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",179.420000,-140.500000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",176.500000,-102.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",167.960000,-140.500000,90.000000,top
"J5","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",148.260000,-140.500000,90.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",142.500000,-135.420000,0.000000,top
"J7","DAV7W2P500A40LF","AMPHENOL_DAV7W2P500A40LF",157.260000,-98.500000,0.000000,top
"J8","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",198.500000,-124.000000,90.000000,top
"J9","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",159.000000,-107.500000,0.000000,top
"J10","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",155.000000,-107.500000,0.000000,top
"J11","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",151.000000,-107.500000,0.000000,top
"L1","2508051217Y6","IND_25_0805_FRT",153.000000,-126.462500,0.000000,top
"LS1","PS1440P02BT","BUZZER_PS1440P02BT",142.500000,-115.500000,0.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.000000,-117.500000,0.000000,top
"R2","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.500000,-121.000000,-90.000000,top
"R3","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.000000,-105.500000,0.000000,top
"R4","120","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",168.000000,-106.000000,180.000000,top
"R5","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.500000,-115.000000,0.000000,top
"R6","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.500000,-127.000000,90.000000,top
"R7","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.000000,-113.000000,180.000000,top
"R8","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.500000,-110.500000,180.000000,top
"R10","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.500000,-134.500000,0.000000,top
"R11","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.000000,-136.500000,180.000000,top
"R12","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.500000,-112.500000,0.000000,top
"R13","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",179.000000,-119.500000,0.000000,top
"R14","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.000000,-133.500000,180.000000,top
"R15","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.962500,-98.568749,90.000000,top
"R16","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.462500,-97.568749,90.000000,top
"R17","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.500000,-110.000000,180.000000,top
"R18","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.000000,-124.000000,180.000000,top
"SW1","SW_Push","SW_PUSH_6mm",146.250000,-129.750000,180.000000,top
"SW3","slide switch","SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm",155.460000,-119.000000,0.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",168.500000,-125.050000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",184.500000,-124.000000,180.000000,top
"U3","24LC08BT_SN","SOIC127P600X175-8N",187.962500,-98.568749,180.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",179.000000,-113.000000,90.000000,top
"U5","MCP2542FD-E/SN","TDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm",167.850000,-111.175000,90.000000,top
"Y1","ASE-8.000MHZ-LC-T","XTAL_ASE-8.000MHZ-LC-T",155.500000,-123.000000,0.000000,top
